SYMBOL,MARKET_CAP,INDUSTRY,SECTOR,MACRO,FNO
SUPRIYA,2535.0,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,0.0
EVEREADY,2522.0,Household Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,0.0
GLOBUSSPR,2514.0,Beverages,Fast Moving Consumer Goods,Fast Moving Consumer Goods,0.0
BEPL,2505.0,Chemicals & Petrochemicals,Chemicals,Commodities,0.0
UGROCAP,2503.0,Finance,Financial Services,Financial Services,0.0
MUFIN,2490.0,Finance,Financial Services,Financial Services,0.0
MOREPENLAB,2489.0,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,0.0
MAYURUNIQ,2478.0,Consumer Durables,Consumer Durables,Consumer Discretionary,0.0
PARACABLES,2465.0,Industrial Products,Capital Goods,Industrials,0.0
TIDEWATER,2464.0,Petroleum Products,Oil Gas & Consumable Fuels,Energy,0.0
AXISCADES,2461.0,IT - Services,Information Technology,Information Technology,0.0
IKIO,2458.0,Consumer Durables,Consumer Durables,Consumer Discretionary,0.0
FOSECOIND,2456.0,Chemicals & Petrochemicals,Chemicals,Commodities,0.0
REPCOHOME,2447.0,Finance,Financial Services,Financial Services,0.0
ARTEMISMED,2445.0,Healthcare Services,Healthcare,Healthcare,0.0
SOTL,2435.0,Petroleum Products,Oil Gas & Consumable Fuels,Energy,0.0
ANDHRAPAP,2426.0,Paper Forest & Jute Products,Forest Materials,Commodities,0.0
HONDAPOWER,2422.0,Industrial Manufacturing,Capital Goods,Industrials,0.0
SIYSIL,2418.0,Textiles & Apparels,Textiles,Consumer Discretionary,0.0
HINDOILEXP,2414.0,Oil,Oil Gas & Consumable Fuels,Energy,0.0
ARMANFIN,2376.0,Finance,Financial Services,Financial Services,0.0
PRECAM,2375.0,Auto Components,Automobile and Auto Components,Consumer Discretionary,0.0
INDIAGLYCO,2375.0,Chemicals & Petrochemicals,Chemicals,Commodities,0.0
TCNSBRANDS,2375.0,Textiles & Apparels,Textiles,Consumer Discretionary,0.0
EMSLIMITED,2355.0,Other Utilities,Utilities,Utilities,0.0
SKIPPER,2353.0,Electrical Equipment,Capital Goods,Industrials,0.0
DHANI,2341.0,Finance,Financial Services,Financial Services,0.0
MMFL,2340.0,Industrial Products,Capital Goods,Industrials,0.0
VISHNU,2339.0,Chemicals & Petrochemicals,Chemicals,Commodities,0.0
LUMAXIND,2320.0,Auto Components,Automobile and Auto Components,Consumer Discretionary,0.0
ALEMBICLTD,2319.0,Realty,Realty,Consumer Discretionary,0.0
KRSNAA,2282.0,Healthcare Services,Healthcare,Healthcare,0.0
CAMLINFINE,2274.0,Chemicals & Petrochemicals,Chemicals,Commodities,0.0
PITTIENG,2262.0,Industrial Manufacturing,Capital Goods,Industrials,0.0
MANORAMA,2258.0,Food Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,0.0
YATRA,2252.0,Leisure Services,Consumer Services,Consumer Discretionary,0.0
TIRUMALCHM,2244.0,Chemicals & Petrochemicals,Chemicals,Commodities,0.0
UDS,2242.0,Commercial Services & Supplies,Services,Services,0.0
SIRCA,2242.0,Consumer Durables,Consumer Durables,Consumer Discretionary,0.0
SESHAPAPER,2234.0,Paper Forest & Jute Products,Forest Materials,Commodities,0.0
BFUTILITIE,2219.0,Transport Infrastructure,Services,Services,0.0
IRMENERGY,2214.0,Gas,Oil Gas & Consumable Fuels,Energy,0.0
RISHABH,2214.0,Electrical Equipment,Capital Goods,Industrials,0.0
RPGLIFE,2209.0,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,0.0
CARYSIL,2204.0,Consumer Durables,Consumer Durables,Consumer Discretionary,0.0
SDBL,2204.0,Beverages,Fast Moving Consumer Goods,Fast Moving Consumer Goods,0.0
ADFFOODS,2197.0,Food Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,0.0
ORIENTHOT,2187.0,Leisure Services,Consumer Services,Consumer Discretionary,0.0
FILATEX,2179.0,Textiles & Apparels,Textiles,Consumer Discretionary,0.0
RPSGVENT,2172.0,Commercial Services & Supplies,Services,Services,0.0
63MOONS,2171.0,IT - Software,Information Technology,Information Technology,0.0
HUHTAMAKI,2167.0,Industrial Products,Capital Goods,Industrials,0.0
EVERESTIND,2165.0,Cement & Cement Products,Construction Materials,Commodities,0.0
FINOPB,2164.0,Banks,Financial Services,Financial Services,0.0
PCJEWELLER,2164.0,Consumer Durables,Consumer Durables,Consumer Discretionary,0.0
GTPL,2159.0,Entertainment,Media Entertainment & Publication,Consumer Discretionary,0.0
SADHNANIQ,2159.0,Chemicals & Petrochemicals,Chemicals,Commodities,0.0
